,DISC,SOCHUM,SPD,LEGAL,WHO,UNEP,IMF,FAO,UNODC,UNHCR (Refugees),UNHRC (Human Rights),AU,NATO,OAS,SC,PRESS,HSC,ICJ,CRISIS,
,Disarmament and International Security,"Social, Cultural, and Humanitarian ",Special Political and Decolonization,Legal,World Health Organization,United Nations Environmental Programme,International Monetary Fund,Food and Agriculture Organization,United Nations Office on Drugs and Crime,United Nations High Commissioner for Refugees,United Nations Human Rights Council,African Union,North Atlantic Treaty Organization,Organization of American States,Security Council,Press Corp.,Historical Security Council,International Court of Justice,Crisis Simulation,
Afghanistan,X,X,X,X,X,X,X,X,X,,,,,,Bosnia and Herzegovina,Al Jazeera,Cathal Brugha,Sierra Leone: Adbul G. Koroma,The Royal Cabinet,
Albania,X,X,X,X,,,,,,,,,X,,Brazil,Associated Press,Michael Collins,Somalia: Abdulqawi Yusuf,"1. King, Hamad bin Isa Al Khalifa",
Algeria,X,X,X,X,X,X,X,X,X,X,,X,,,China,British Broadcasting Corporation,W.T. Cosgrave,Brazil: Antônio Augusto Cançado Trindade,"2. Crown Prince, Salman bin Hamad bin Isa Al Khalifa",
Andorra,X,X,X,X,,,,,,,,,,,Colombia,Cable News Network,Arthur Griffith,Jordan: Awn Shawkat Al-Khasawneh,"3. Prime Minister, Prince Khalifa bin Salman Al Khalifa",
Angola,X,X,X,X,X,X,X,X,X,,X,X,,,France,Diario VEA,Eoin MacNeil,Mexico: Bernardo Sepúlveda Amor,"4. Deputy Prime Minister, Sheikh Ali bin Khalifa Al Khalifa",
Antigua and Barbuda,X,X,X,X,,,,,,,,,,X,Gabon,Le Monde diplomatique,Constance Markievicz,Germany: Bruno Simma,"5. Minister of Foreign Affairs, Sheikh Khalid bin Ahmad bin Muhammad Al Khalifa",
Argentina,X,X,X,X,X,X,X,X,X,X,X,,,X,Germany,New York Times,Kevin O'Higgins,Japan: Hisashi Owada,"6. Minister of Interior, Sheikh Rashid bin Abdullah bin Ahmad Al Khalifa",
Armenia,X,X,X,X,,,,,,,,,,,India,Reuters, Count Plunkett,United States: Joan Donoghue,"7. Minister of Defense Affairs, Sheikh Muhammad bin Khalifa Al Khalifa",
Australia,X,X,X,X,X,X,X,X,X,X,,,,,Lebanon,RIA Novosti,Eamon de Valera,Russia: Leonid Skotnikov,"8. Minister of Finance, Sheikh Ahmad bin Muhammad bin Hamad bin Abdullah Al Khalifa",
Austria,X,X,X,X,X,X,X,X,X,X,,,,,Nigeria,Spiegel,Austin Stack,Morrocco: Mohamed Bennouna,"9. Minister of Islamic Affairs, Sheikh Khalid bin Ali Al Khalifa",
Azerbaijan,X,X,X,X,,,,,,,,,,,Portugal,The Economic Times,Mary MacSwiney,Slovakia: Peter Tomka,"10. Minister of Human Rights and Social Development, Dr. Fatima bint Ahmad al-Balushi",
Bahamas,X,X,X,X,X,X,X,X,X,,,,,X,Russia,Xinhua News Agency,Joseph Lynch,France: Ronny Abraham,"11. Ambassador-at-Large, Huda Azra Ibrahim Nunu",
Bahrain,X,X,X,X,,,,,,,X,,,,South Africa,,Desmond FitzGerald,United Kingdom: Sir Christopher John Greenwood,"12. Attorney General, Ali bin Fadhil al-Buaynayn",
Bangladesh,X,X,X,X,X,X,X,X,X,X,X,,,,United Kingdom,,Margaret Pearse,New Zealand: Sir Kenneth Keith,,
Barbados,X,X,X,X,X,X,X,X,X,,,,,X,United States,,Pádraic Ó Máille,People’s Republic of China: Xue Hanqin,The Free Bahrain Coalition,
Belarus,X,X,X,X,X,X,X,X,X,,,,,,,,Robert Erskine Childers,,1. Chair,
Belgium,X,X,X,X,X,X,X,X,X,X,X,,X,,,,Joseph McGuinness,,2. Deputy Chair,
Belize,X,X,X,X,,,,,,,,,,X,,,John J. O'Kelly,,3. Deputy Chair,
Benin,X,X,X,X,X,X,X,X,X,X,,X,,,,,Eoin O'Duffy,,4. Vice-Chair of Foreign Affairs,
Bhutan,X,X,X,X,,,,,,,,,,,,,,,5. Vice-Chair of Finance,
Bolivia,X,X,X,X,X,X,X,X,X,,,,,X,,,,,6. Vice-Chair of Intelligence,
Bosnia and Herzegovina,X,X,X,X,,,,,,,,,,,,,,,7. Vice-Chair of Islamic Affairs,
Botswana,X,X,X,X,X,X,X,X,X,,,X,,,,,,,8. Vice-Chair of Social Welfare,
Brazil,X,X,X,X,X,X,X,X,X,X,X,,,X,,,,,9. Attorney General,
